class,pattern,count,kind,examples
perfekt_frame,ist … moment,49,frame,404092;368614;527545
perfekt_frame,habe … sofort,49,frame,629281;479559;739449
perfekt_frame,hat … nachricht,49,frame,479778;601498;734496
perfekt_frame,war … gewesen,49,frame,666369;657080;769431
perfekt_frame,hat … absicht,49,frame,757778;790022;779223
perfekt_frame,ist … aussieht,48,frame,372280;396500;345531
perfekt_frame,hast … kennengelernt,48,frame,347985;412328;582220
perfekt_frame,habe … geschickt,48,frame,591222;757074;354819
perfekt_frame,ist … sieht,48,frame,1335837;356630;609445
perfekt_frame,haben … gebraucht,48,frame,878244;358330;532251
perfekt_frame,war … verliebt,48,frame,379804;1390595;379942
perfekt_frame,bin … aufgewacht,48,frame,757587;1019591;613168
perfekt_frame,sind … selbst,48,frame,742335;843403;930697
perfekt_frame,hat … gerufen,48,frame,1178652;1343569;743967
perfekt_frame,hat … erwähnt,48,frame,1018451;786581;766280
perfekt_frame,habe … bestellt,47,frame,341397;344628;358651
perfekt_frame,habe … gehalten,47,frame,353032;356645;354526
perfekt_frame,habt … gelesen,47,frame,370307;358419;1520297
perfekt_frame,habe … durst,47,frame,413628;361107;724059
perfekt_frame,hat … verursacht,47,frame,463612;363369;372764
perfekt_frame,hat … geraten,47,frame,368268;371712;410969
perfekt_frame,sind … gestorben,47,frame,381396;605976;404757
perfekt_frame,hat … erreicht,47,frame,596453;450714;486124
perfekt_frame,hast … geschlafen,47,frame,475877;1764129;2179518
perfekt_frame,hast … überhaupt,47,frame,1315665;562363;641919
perfekt_frame,hast … geholfen,47,frame,758383;1909206;943486
perfekt_frame,bin … verheiratet,46,frame,783505;563;601055
perfekt_frame,hat … mitgebracht,46,frame,342562;345015;637459
perfekt_frame,habe … antwort,46,frame,360902;753354;753355
perfekt_frame,bist … beschäftigt,46,frame,368776;406415;394499
perfekt_frame,hat … bemerkt,46,frame,443196;1335372;373094
perfekt_frame,hat … kaputtgemacht,46,frame,400225;392629;405038
perfekt_frame,bin … interessiert,46,frame,726125;392640;810199
perfekt_frame,ist … geeignet,46,frame,471931;607199;395435
perfekt_frame,haben … getrunken,46,frame,1137130;1210543;428491
perfekt_frame,ist … licht,46,frame,676951;448366;604402
perfekt_frame,haben … bezahlt,46,frame,2216186;749810;622704
perfekt_frame,hast … gebraucht,46,frame,1599066;1599067;660549
perfekt_frame,hast … geschafft,46,frame,743760;1315480;1454652
perfekt_frame,habt … vergessen,46,frame,2423899;2570196;1733895
perfekt_frame,ist … angst,45,frame,659730;542716;169
perfekt_frame,war … verheiratet,45,frame,876428;1273997;349889
perfekt_frame,haben … selbst,45,frame,461390;703785;928284
perfekt_frame,ist … unbekannt,45,frame,1208867;1208896;1314590
perfekt_frame,habe … gebraucht,44,frame,359668;344521;421
perfekt_frame,habe … geglaubt,44,frame,1429017;404647;818
perfekt_frame,ist … spricht,44,frame,344471;642244;399980
perfekt_frame,habe … geschafft,44,frame,1223697;784549;360611
perfekt_frame,hast … nacht,44,frame,541596;391507;482088
perfekt_frame,hast … genommen,44,frame,656327;396566;740445
perfekt_frame,hat … bestimmt,44,frame,1307353;641117;412785
perfekt_frame,hat … geklaut,44,frame,789530;789532;492436
perfekt_frame,habe … geschenk,44,frame,1624910;799733;1445392
perfekt_frame,hast … gebracht,44,frame,1432889;982038;1926109
perfekt_frame,hat … geschossen,44,frame,1314467;1087057;1317373
perfekt_frame,hat … geheimnis,43,frame,350905;914391;645860
perfekt_frame,habe … geheiratet,43,frame,352310;440155;617871
perfekt_frame,habe … verkauft,43,frame,357809;362683;570399
perfekt_frame,hatten … angst,43,frame,360811;426291;806598
perfekt_frame,war … äußerst,43,frame,463975;368527;369377
perfekt_frame,hat … geliehen,43,frame,387229;912842;759462
perfekt_frame,ist … punkt,43,frame,497076;724906;589966
perfekt_frame,sind … gefährlich,43,frame,667252;669817;511288
perfekt_frame,haben … erzählt,43,frame,3181429;5758458;6803548
perfekt_frame,war … bedeckt,42,frame,342620;349819;351286
perfekt_frame,ist … doppelt,42,frame,360823;344591;399159
perfekt_frame,habe … vermisst,42,frame,361445;638608;743174
perfekt_frame,sind … arbeit,42,frame,362244;372993;619105
perfekt_frame,ist … interessiert,42,frame,677923;365692;828090
perfekt_frame,haben … verbracht,42,frame,373123;593098;374133
perfekt_frame,ist … fähigkeit,42,frame,917150;1196448;562522
perfekt_frame,hat … gewaschen,42,frame,1023142;1074393;682925
perfekt_frame,sind … verwandt,42,frame,935081;1014006;1211705
perfekt_frame,sind … gestiegen,41,frame,436;586161;617847
