lemma,pos,gloss,source
enthalten,verb,"to contain, comprise, include",lemma
entkommen,verb,to escape,lemma
entlang,adv,along,lemma
entlassen,verb,to release,lemma
entscheiden,verb,"to decide, to make a decision",lemma
entscheidung,noun,decision,lemma
entschieden,adj,"determined, resolute",lemma
entschloss,verb,to decide,form-of
entschluss,noun,alternative spelling of Entschluss,lemma
entschuldigen,verb,to excuse (something or (formal) someone),lemma
entschuldigung,noun,apology (expression of remorse or regret),lemma
entsprechen,verb,"to correspond (be equivalent or similar in character, etc.)",lemma
entstand,verb,"to come into being, to arise, to be produced",form-of
entstehen,verb,"to come into being, to arise, to be produced",lemma
enttäuschen,verb,to disappoint (displease by not fulfilling an expectation),lemma
entweder,conj,either (only with oder),lemma
entwickeln,verb,"to develop, to gain (strength, a skill, a talent, an ability, etc.; slowly, often by natural growth or practice)",lemma
entwickelt,adj,developed,lemma
entwicklung,noun,evolution,lemma
er,pron,he,lemma
erd,verb,to earth,form-of
erdbeben,noun,earthquake,lemma
erdbeere,noun,strawberry,lemma
ereignis,noun,event (occurrence of social or personal importance),lemma
erfahren,verb,"to find out, learn, to come to know",lemma
erfahrung,noun,experience (event through which empirical knowledge is gained),lemma
erfindung,noun,invention,lemma
erfolg,noun,success,lemma
erfolgreich,adj,successful,lemma
erforderlich,adj,"necessary, required, essential",lemma
erfordern,verb,"to necessitate, to require",lemma
erfreuen,verb,to please; to make happy,lemma
erfunden,adj,"invented, contrived",lemma
erfüllen,verb,to fill (with something physical or abstract),lemma
ergeben,verb,"to yield, produce",lemma
ergebnis,noun,"result, outcome, conclusion, finding, fruit, consequence, upshot, answer",lemma
erhalten,verb,"to receive (something given, sent, won, etc.)",lemma
erinnern,verb,to remind,lemma
erinnerung,noun,memory (recall); remembrance,lemma
erkennen,verb,"to recognize, perceive",lemma
erklären,verb,"to explain, to make clear",lemma
erklärung,noun,explanation,lemma
erkälten,verb,to catch a cold,lemma
erkältung,noun,cold (illness),lemma
erlauben,verb,to allow; to permit,lemma
erlaubnis,noun,permission (authorisation),lemma
erleben,verb,to experience,lemma
erledigen,verb,"to finish, to finalize, to complete, to see to, to handle with the result of completed work",lemma
erlernen,verb,to learn (to the point of being an expert),lemma
ermorden,verb,"to murder, to assassinate",lemma
erneut,adj,renewed,lemma
ernst,adj,"serious, severe, grave",lemma
ernsthaft,adj,"serious (important, weighty)",lemma
ernähren,verb,"to nourish, to feed",lemma
