form,lemma,source,pos
wußten,wissen,kaikki-form-of,verb
trink,trinken,kaikki-form-of,verb
bienen,biene,kaikki-form-of,noun
hofft,hoffen,kaikki-form-of,verb
milliarden,milliarde,kaikki-form-of,noun
erfordert,erfordern,kaikki-form-of,verb
kräfte,kraft,kaikki-form-of,noun
zumute,zumute,kaikki-headword,adv
mehreren,mehrere,kaikki-form-of,pron
wiegt,wiegen,kaikki-form-of,verb
fragst,fragen,kaikki-form-of,verb
erdbeeren,erdbeere,kaikki-form-of,noun
bricht,brechen,kaikki-form-of,verb
kühe,kuh,kaikki-form-of,noun
osten,osten,kaikki-headword,noun
erstes,erste,kaikki-form-of,num
entschied,entscheiden,kaikki-form-of,verb
weiteren,weit,kaikki-form-of,adj
folgte,folgen,kaikki-form-of,verb
wunde,wunde,kaikki-headword,noun
fanden,finden,kaikki-form-of,verb
götter,gott,kaikki-form-of,noun
fremdsprachen,fremdsprache,kaikki-form-of,noun
gewann,gewinnen,kaikki-form-of,verb
leiser,leise,kaikki-form-of,adj
wichtigsten,wichtig,kaikki-form-of,adj
älteren,alt,kaikki-form-of,adj
musiker,musiker,kaikki-headword,noun
festgenommen,festnehmen,kaikki-form-of,verb
nachzudenken,nachdenken,kaikki-form-of,verb
dritte,dritte,kaikki-headword,adj
teilte,teilen,kaikki-form-of,verb
vorgeschlagen,vorschlagen,kaikki-form-of,verb
taschen,tasche,kaikki-form-of,noun
umständen,umstand,kaikki-form-of,noun
vermag,vermögen,kaikki-form-of,verb
passierte,passieren,kaikki-form-of,verb
drehte,drehen,kaikki-form-of,verb
verschwand,verschwinden,kaikki-form-of,verb
tatsachen,tatsache,kaikki-form-of,noun
franzosen,franzose,kaikki-form-of,noun
stürzte,stürzen,kaikki-form-of,verb
bittet,bitten,kaikki-form-of,verb
ankam,ankommen,kaikki-form-of,verb
träumte,träumen,kaikki-form-of,verb
verbrannt,verbrennen,kaikki-form-of,verb
übersetzer,übersetzer,kaikki-headword,noun
geschwister,geschwister,kaikki-headword,noun
kerzen,kerze,kaikki-form-of,noun
schülern,schüler,kaikki-form-of,noun
drückte,drücken,kaikki-form-of,verb
möglichst,möglichst,kaikki-headword,adv
übrigens,übrigens,kaikki-headword,adv
erfährt,erfahren,kaikki-form-of,verb
herzens,herz,kaikki-form-of,noun
derselben,derselbe,kaikki-form-of,pron
wußtest,wissen,kaikki-form-of,verb
blickte,blicken,kaikki-form-of,verb
endete,enden,kaikki-form-of,verb
hierhergekommen,hierherkommen,kaikki-form-of,verb
klingelte,klingeln,kaikki-form-of,verb
holte,holen,kaikki-form-of,verb
wirkte,wirken,kaikki-form-of,verb
mitzuteilen,mitteilen,kaikki-form-of,verb
geschnitten,schneiden,kaikki-form-of,verb
bananen,banane,kaikki-form-of,noun
gleicht,gleichen,kaikki-form-of,verb
träumt,träumen,kaikki-form-of,verb
familien,familie,kaikki-form-of,noun
dunklen,dunkel,kaikki-form-of,adj
reichte,reichen,kaikki-form-of,verb
lachten,lachen,kaikki-form-of,verb
geriet,geraten,kaikki-form-of,verb
gesamten,gesamt,kaikki-form-of,adj
redete,reden,kaikki-form-of,verb
sätzen,satz,kaikki-form-of,noun
denselben,derselbe,kaikki-form-of,pron
nannte,nennen,kaikki-form-of,verb
erfuhr,erfahren,kaikki-form-of,verb
verlässt,verlassen,kaikki-form-of,verb
erwiderte,erwidern,kaikki-form-of,verb
inneren,inner,kaikki-form-of,adj
wußtet,wissen,kaikki-form-of,verb
befand,befinden,kaikki-form-of,verb
jenen,jener,kaikki-form-of,pron
ginge,gehen,kaikki-form-of,verb
starben,sterben,kaikki-form-of,verb
diejenige,derjenige,kaikki-form-of,pron
bewundere,bewundern,kaikki-form-of,verb
tomaten,tomate,kaikki-form-of,noun
fehlern,fehler,kaikki-form-of,noun
kümmere,kümmern,kaikki-form-of,verb
besitzer,besitzen,kaikki-form-of,noun
möglichen,möglich,kaikki-form-of,adj
gefreut,freuen,kaikki-form-of,verb
entspricht,entsprechen,kaikki-form-of,verb
affe,affe,kaikki-headword,noun
wirf,werfen,kaikki-form-of,verb
pflegte,pflegen,kaikki-form-of,verb
geflogen,fliegen,kaikki-form-of,verb
jüngste,jung,kaikki-form-of,adj
zigaretten,zigarette,kaikki-form-of,noun
wolltet,wollen,kaikki-form-of,verb
böses,böse,kaikki-form-of,adj
verwechselt,verwechseln,kaikki-form-of,verb
begannen,beginnen,kaikki-form-of,verb
kleinste,klein,kaikki-form-of,adj
gehofft,hoffen,kaikki-form-of,verb
glaub,glauben,kaikki-form-of,verb
pommes,pommes,kaikki-headword,noun
erschossen,erschießen,kaikki-form-of,verb
italiener,italiener,kaikki-headword,noun
weiteres,weit,kaikki-form-of,adj
schande,schande,kaikki-headword,noun
tätest,tun,kaikki-form-of,verb
wirft,werfen,kaikki-form-of,verb
fingen,fangen,kaikki-form-of,verb
anfänger,anfangen,kaikki-form-of,noun
aufgewacht,aufwachen,kaikki-form-of,verb
hingegangen,hingehen,kaikki-form-of,verb
flaschen,flasche,kaikki-form-of,noun
meilen,meile,kaikki-form-of,noun
